name,PA,ellipticity,i,distance,R_25,PSF,Mass,error_Mass,lSFR,error_lSFR,L_K19N2O2_50,L_K19N2O2_16,L_K19N2O2_84,L_PPN2_50,L_PPN2_16,L_PPN2_84,L_PPO3N2_50,L_PPO3N2_16,L_PPO3N2_84
UGC04308,204,0.268,43,53.1,7.145,2.45,10.343,0.077,0.078,0.057,0.541,0.514,0.569,0.397,0.366,0.429,0.909,0.887,0.934
UGC04262,264,0.399,54,85.3,11.66,2.83,10.842,0.084,0.196,0.057,5.63,4.731,6.682,9.824,9.178,10.504,7.085,5.981,8.179
NGC2565,254,0.591,67,53.6,8.184,2.45,10.672,0.084,-0.413,0.060,1.147,0.94,1.386,0.283,0.164,0.355,1.827,1.718,1.936
NGC2596,154,0.637,70,89,11.76,2.31,10.865,0.095,0.665,0.061,0.874,0.747,1.016,1.257,1.11,1.428,1.572,1.27,1.947
NGC2595,100,0.314,47,64.4,8.415,3.7,10.812,0.082,0.178,0.060,1.674,1.212,2.365,0.063,0.032,0.114,0.579,0.412,0.669
NGC2730,165,0.253,42,57.2,7.037,2.67,10.279,0.081,0.263,0.060,0.326,0.303,0.348,0.354,0.33,0.374,0.702,0.678,0.727
NGC2916,96,0.372,52,55.4,7.795,1.97,10.808,0.079,0.209,0.059,0.655,0.628,0.682,0.791,0.745,0.832,1.103,1.014,1.21
UGC05358,168,0.628,69,43.2,5.029,3.07,9.463,0.103,-0.604,0.061,0.141,0.077,3.44,0.241,0.161,0.31,0.327,0.272,0.389
UGC05520,190,0.521,62,49.1,5.735,3.26,9.839,0.116,-0.107,0.061,0.17,0.114,0.232,0.505,0.471,0.538,1.192,1.122,1.27
NGC3687,220,0.08,23,37,4.537,2.07,10.33,0.081,-0.283,0.058,0.122,0.077,0.17,0.1,0.063,0.13,0.207,0.179,0.228
NGC3811,106,0.331,49,45.5,5.541,2.6,10.548,0.088,0.332,0.061,1.953,1.813,2.116,0.841,0.787,0.9,2.27,2.167,2.376
NGC3815,161,0.609,68,55.4,7.406,2.45,10.63,0.082,0.185,0.061,0.428,0.3,0.502,0.666,0.615,0.719,0.954,0.915,0.998
UGC07012,100,0.464,58,45.5,5.4,2.27,9.769,0.085,-0.114,0.060,0.202,0.134,0.241,0.482,0.463,0.501,0.76,0.737,0.785
NGC4047,191,0.228,40,51.3,6.764,2.68,10.766,0.092,0.637,0.061,0.451,0.315,0.612,1.643,1.567,1.729,1.147,1.09,1.202
UGC07145,242,0.64,70,99.5,11.647,2.57,10.552,0.103,0.143,0.060,1.97,1.372,3.622,0.568,0.315,0.784,4.88,3.284,8.977
NGC4210,184,0.263,43,40.6,5.424,2.68,10.443,0.095,-0.042,0.061,0.782,0.686,0.887,0.336,0.316,0.358,0.428,0.39,0.463
IC0776,172,0.414,55,36.1,4.306,2.72,9.374,0.083,-0.512,0.058,0.195,0.148,0.235,1.173,1.091,1.261,1.01,0.984,1.037
NGC4470,91,0.324,48,35.2,4.551,2.56,10.037,0.085,0.073,0.060,0.241,0.148,0.302,0.434,0.406,0.467,0.594,0.578,0.61
NGC4711,131,0.51,62,60.8,7.008,2.45,10.624,0.084,0.151,0.060,3.473,2.744,4.78,0.524,0.493,0.559,0.341,0.286,7.176
UGC08004,97,0.621,69,93.1,10.846,2.55,10.305,0.118,-0.006,0.062,2.884,2.582,3.272,1.034,0.971,1.098,1.576,1.511,1.636
UGC08107,142,0.619,69,125.2,20.722,2.48,11.267,0.094,1.032,0.060,1.659,1.554,1.766,2.563,1.989,3.035,2.736,2.517,2.981
NGC4961,193,0.383,53,37.9,4.393,2.13,9.797,0.091,-0.113,0.057,1.604,1.515,1.703,0.465,0.439,0.491,0.767,0.746,0.787
UGC08231,165,0.644,70,37,4.345,2.32,9.443,0.107,-0.385,0.058,0.307,0.257,0.336,1.092,1.045,1.151,2.867,2.771,2.968
NGC5056,89,0.503,61,83,10.851,3.17,10.724,0.085,0.590,0.058,0.66,0.62,0.698,1.061,1.008,1.121,1.735,1.683,1.784
NGC5320,103,0.455,58,38.8,6.529,2.71,10.3,0.088,-0.035,0.059,0.793,0.762,0.828,0.219,0.19,0.241,0.436,0.417,0.455
NGC5406,219,0.246,41,80.8,12.449,1.91,11.034,0.079,0.455,0.053,0.637,0.373,0.809,0.742,0.704,0.78,0.81,0.757,0.86
UGC09067,103,0.539,64,118.3,13.105,2.08,10.922,0.092,0.697,0.058,0.477,0.27,0.642,1.739,1.598,1.887,1.667,1.524,1.829
UGC09110,105,0.617,69,69.4,9.611,2.36,10.494,0.089,0.366,0.059,0.646,0.604,0.688,1.969,1.796,2.182,2.933,2.761,3.121
UGC09113,148,0.674,72,47.3,5.239,2.18,10.073,0.115,-0.249,0.060,0.57,0.361,0.707,0.579,0.31,0.809,0.946,0.883,1.009
NGC5610,185,0.624,69,75.8,12.753,2.62,10.829,0.092,0.605,0.059,1.368,1.266,1.473,3.404,3.159,3.653,1.076,1,1.152
NGC5622,170,0.485,60,57.7,6.852,1.9,10.336,0.085,-0.021,0.059,0.39,0.293,0.488,0.458,0.414,0.497,0.718,0.684,0.752
NGC5630,185,0.648,71,39.7,6.112,2.14,9.779,0.087,0.106,0.059,1.13,1.088,1.174,0.562,0.489,0.623,0.522,0.431,0.587
UGC09291,197,0.507,61,42.8,6.618,2.81,9.957,0.091,-0.305,0.057,0.391,0.356,0.431,0.2,0.148,0.241,1.508,1.438,1.579
NGC5656,145,0.341,49,46.8,6.018,1.93,10.639,0.082,0.426,0.058,0.239,0.187,0.285,0.451,0.412,0.497,0.706,0.683,0.729
NGC5657,255,0.615,69,58.6,9.01,3.2,10.495,0.104,0.275,0.061,0.488,0.341,0.66,1.943,1.844,2.044,1.021,0.953,1.083
NGC5732,130,0.42,55,56.3,6.339,3.02,10.111,0.101,-0.001,0.060,0.253,0.161,0.305,0.302,0.23,0.346,0.412,0.378,0.44
UGC09476,213,0.307,47,48.6,5.935,2.14,10.269,0.098,0.117,0.060,0.78,0.742,0.829,0.148,0.1,0.184,0.479,0.439,0.514
NGC5735,234,0.068,21,55.8,7.088,2.42,10.497,0.083,0.030,0.057,0.418,0.362,0.462,0.517,0.47,0.567,0.93,0.891,0.969
UGC09598,213,0.652,71,83.5,11.195,2.07,10.625,0.094,-0.015,0.058,0.534,0.315,0.713,0.881,0.797,0.966,0.747,0.543,0.879
UGC09777,238,0.491,60,70.3,8.348,2.08,10.542,0.092,0.256,0.060,0.366,0.245,0.448,1.162,1.082,1.244,0.901,0.839,0.963
NGC5980,103,0.628,69,60.8,8.986,2.16,10.921,0.087,0.897,0.059,1.782,1.668,1.915,2.847,2.646,3.076,3.565,3.419,3.732
NGC6063,245,0.44,57,42.3,5.596,2.4,10.191,0.097,-0.248,0.059,0.335,0.224,0.39,0.272,0.245,0.298,0.342,0.318,0.363
NGC6132,217,0.621,69,74.4,8.94,2.07,10.398,0.09,0.282,0.061,1.723,1.628,1.832,1.261,1.165,1.366,2.631,2.482,2.799
NGC6155,232,0.302,46,36.1,4.827,2.62,10.234,0.085,0.216,0.060,0.089,0.045,3.058,1.326,1.258,1.395,0.356,0.338,0.374
UGC10796,160,0.534,63,45.5,5.075,3.83,9.62,0.118,-0.559,0.062,0.327,0.23,0.39,0.771,0.716,0.829,0.263,0.182,0.308
IC1256,180,0.419,55,71.2,8.125,2.38,10.618,0.088,0.240,0.059,2.116,1.858,2.427,0.636,0.591,0.68,0.618,0.574,0.657
